название,текст
Синий ноготь,"Две девушки с матерью пошли на базар. Там продавались пирожки с человечьим мясом. А девушки съели по пирожку, и им они понравились. Старушка, которая продавала пирожки, сказала, что у нее больше их нет. Но она позвала их к себе домой и сказала, что напечет им пирожки. Когда они пришли в дом, там стояли только стол и диван. Когда девочки сели на диван, диван перевернулся и появились на столе пирожки из человечьего мяса. А старушка взяла эти пирожки и пошла их продавать. А мать их ждала, но не дождалась и пошла в милицию. Их искали и не нашли. Прошел месяц. Эта старушка опять продавала пирожки. А мать попробовала пирожок, и ей попало в зубы что-то твердое. Она вынула изо рта посмотреть, а это оказался ноготь. А одна из ее дочерей всегда красила ноготь синим цветом. Лак еще не смылся, и она узнала, что это мясо ее дочерей. Она пошла в милицию и старушку забрали."
Синий ноготь - 2,"Мальчик шел по дороге и увидел, что какая-то старая женщина продает пирожки. Мальчик купил два пирожка и съел их, и они ему очень понравились, а денег у него больше не было. Он подошел к женщине и попросил ее дать ему один пирожок. Она ему и говорит: - Понравились тебе мои пирожки? А хочешь посмотреть, как я их делаю? Пойдем со мной, я тебе покажу.  Она взяла мальчика за руку и повела к себе домой. Она сказала ему: - Садись вот в это кресло, а я сейчас приду. Мальчик сел на кресло, и вдруг оно перевернулось, и мальчик оказался в мясорубке, вделанной в кресло. Потом старуха сделала тесто и испекла новые пироги с мясом и пошла на то же место продавать.   Через некоторое время по той же дороге шел папа того мальчика. Он увидел ту женщину и тоже захотел купить пирожки. Когда он покупал пирожки, он заметил, что у этой женщины очень красные руки и это ему стало подозрительно. Он купил один пирожок и стал его есть и вдруг у него на зубах что-то хрустнуло. Он увидел синий ноготок, а у его сына тоже был синий ноготок. Один раз он дверью прищемил палец, ноготь посинел, да так и остался синий. Отец узнал ноготок своего сына и пошел сразу в милицию и все там рассказал.  Милиция и отец выследили, где живет эта женщина и пришли к ней домой. Она предложила одному милиционеру сесть в кресло. Он сел и тоже попал в мясорубку. Тогда остальные милиционеры схватили ее и насильно бросили в это кресло."
Синий ноготь - 3,"Шла девочка с мамой по городу. Видят: женщина продаёт пирожки. Девочка просит маму:  - Мама, купи пирожки.  Мама согласилась и купила 2 пирожка. Девочке понравилось и она захотела купить ещё 2 пирожка. Но пирожки кончились и женщина предложила девочке, чтобы та вместе с ней пошла к ней домой и тогда женщина угостит её пирожками. Девочка согласилась.  Когда они пришли домой к этой женщине, девочка села на диван и провалилась. Из мяса девочки женщина сделала пирожки. Мама удивилась, почему дочки дома так и нет и пошла к тому месту, где продавали пирожки.  Маме очень захотелось есть и она купила пирожок. Разломила его и увидела синий ноготь. Она испугалась, так как у её дочки тоже один палец был с синим ногтем.  Она всё поняла и вызвала милицию. Женщину, продающую пирожки, арестовали. Милиция пришла к ней домой, открыла первую дверь и увидели большое количество человеческого мяса. В другой комнате было много человеческих костей. А в третьей, в огромном тазу хранились человеческая кровь. Эту квартиру сожгли."
Ноготь с белым пятнышком,"Одна бабушка продавала у школы пирожки. Мальчик и девочка вышли из школы и хотели купить пирожков. Но старуха сказала им, что пирожки закончились, но у нее дома есть еще, а живет она недалеко. И дети пошли к ней домой. Там она пригласила их сесть на большой диван. Но мальчик сел на стул, а девочка - на диван. Вдруг диван перевернулся, и девочка упала в подвал. Старуха хотела усадить и мальчишку на диван, но он вырвался и убежал. Мама ждала дочку день, два, на третий она пошла ее искать. У школы она купила два пирожка с мясом. В одном из них ей попалось что-то твердое: это был ноготь ее дочки с белым пятнышком."
Палец с наколкой,"Однажды мама послала девочку на рынок за мясом. Велела купить самое свежее. Но уже был вечер, и на рынке ни у кого не было свежего мяса. Тогда одна бабушка сказала девочке:  - Пойдём ко мне домой, там я дам тебе свежего мяса.  Когда они пришли, то в этом доме было две лестницы. Бабушка сказала девочке подниматься по левой, а сама пошла по правой. Когда девочка шагнула на предпоследнюю ступеньку, то она провалилась вместе с этой ступенькой, и там, в подвале, ее перемололо разными машинами.  Бабушка взяла её свежее мясо и понесла на рынок продавать. Мама же, не дождавшись дочки, решила сама сходить за мясом. Купила у бабушки мяса и положила его в суп вариться. А у её дочери на безымянном пальце была наколка. И вот мама стала мешать суп - вдруг всплывает палец, а на нём написано ""Лена"". Мама поняла, что это мясо её дочери, и позвонила в милицию. Милиционер приехал и пошел расследовать дело на рынок. Там он распознал всё об этой бабульке и попросил у нее свежего мяса. Она пригласила его домой.  Когда они стали подниматься по лестнице, он заставил бабушку идти вперёд себя. И она сама провалилась в подвал, там её раскрошило на кусочки, а милиционер получил премию."
Непослушная девочка,"Жили две подруги. Одна была послушная, а другая никогда не слушала свою маму.  Однажды послушная девочка купила очень вкусные пирожки. Она посоветовала купить их своей подруге. Но эта непослушная девочка пошла не по той дороге, куда надо было идти покупать те вкусные пирожки. Она зашла в незнакомые ей места. Там она увидела женщину, которая продавала пирожки. Девочка хотела купить их, но женщина сказала:  - Ой, а пирожки уже кончились, пойдём ко мне домой, я испеку тебе ещё пирожков. Девочка пошла с этой женщиной. Когда они вошли в дом, женщина дала девочке робота и сказала:  - Играй с роботом, пока я пеку пирожки, но только играть с ним можно лежа. Девочка легла и начала играть, а робот незаметно стал разрезать её тело на кусочки. Постепенно он её всю разрезал, но не смог распилить только один ноготок у девочки на пальце, так как он был повреждён несколько дней назад.  Женщина приготовила из этого мяса пирожки и пошла продавать. Их случайно купила подруга той девочки. Увидела она в одном пирожке ноготок, неразрезанный роботом, и узнала его. Она вызвала милицию, и милиция поймала ту женщину."
Поездка за лаком,"У мамы одной девочки было много помад, кремов, лаков для ногтей. Девочке очень хотелось покрасить ногти. Пока мама была на кухне, девочка покрасила мизинец. Мама увидела и пристыдила:  - Ты ещё маленькая, чтобы краситься.  Прошло немного времени. Мама собиралась на работу и наказала дочке, чтобы та никуда не уходила из дома. Но девочка не послушалась.  Когда мама ушла, дочь вышла на улицу. К ней подъехала чёрная ""Волга"", в которой сидели парень и старуха. Старуха сказала:  - Хочешь, я подарю тебе красивый лак? Садись в машину.  Они долго петляли по городу. Девочке было страшно. Наконец, они приехали к 5-этажному дому и вошли в подъезд. На одной из ступенек девочка провалилась в подвал, где стояли большие мясорубки. Из девочки сделали фарш. Старуха напекла пирожков и пошла продавать. В это время с работы возвращалась мать девочки. Она купила себе пирожок. Кушая, почувствовала что-то твёрдое. Это был накрашенный ноготок ее дочери.  Мать сразу позвонила в милицию. Старуху арестовали, а этот страшный дом взорвали."
Родинка,"Однажды мама и дочка пошли гулять и встретили старуху. Она продавала пирожки. Мама купила дочке пирожок. Он девочке понравился. Она попросила ещё, но у старухи больше не было. И тогда старушка говорит:  - Девочка, у меня дома еще есть пирожки. Пойдем, я тебе дам. А мама подождёт.  И девочка с бабушкой ушли. А мама ждала-ждала и пошла искать. Но не нашла и вернулась назад на это же место. А там старуха опять продавала пирожки. Мама спросила, где дочка. Старуха ей говорит:  - Пойдём со мной.  Они пришли к ней домой. Мама увидела много тазов. В одном были волосы, в других зубы, руки, ноги. А в самом большом были пирожки. И на одном из них было тёмное пятнышко. И мать вспомнила, что на руке у дочки была такая же родинка. И она обо всём догадалась и позвала милицию."
Мясорубка под диваном,"Одна женщина жила на первом этаже. Под диваном у неё была яма. Там жили собаки. Женщина всех приглашала к себе домой. Но если заходили к ней, например, 8 человек, то выходили только 2. Все думали: ""Где же остальные?""  Однажды пришли милиционеры. Женщина двоим предложила сесть на диван, остальным на стулья. Те, которые сели на диван, перевернулись. Когда милиционеры стали уходить, то заметили, что двое пропали. Тогда они предложили женщине сесть на диван. Она отказалась, тогда милиционеры силой посадили её на диван. Она перевернулась в яму.  Когда диван переворачивался, все увидели там около 10 собак или больше. Там была большая мясорубка, человека прокручивало в ней и собаки ели."
Автобус-мясорубка,"Однажды в Москве появился страшный автобус. Был он страшным потому, что появлялся обычно по вечерам, и все люди, которые в него садились, всегда пропадали. Милиция искала этот автобус, но найти не могла. А ещё был у него страшный водитель - на лице его была красная повязка, которую он никогда не снимал.  Однажды в этот автобус сел маленький мальчик. Они ехали и ехали, выехали из города, свернули в лес - но люди ничего не замечали. Заехали в самую глушь. Автобус остановился. Кресла сидений перевернулись, под ними оказались мясорубки. Люди упали в них и превратились в фарш. Водитель снял повязку - под ней оказался один-единственный огромный зуб, красный от крови. И он принялся поедать фарш.  Мальчик убежал, вернулся в город, рассказал всё милиции, но водителя автобуса так и не смогли найти."
Черный трамвай,"В одном городе жил мальчик. Однажды он шел из школы. В своем городе он знал каждый уголок. Но сейчас он увидел, что оказался в районе, в котором никогда не был. Стояли дома непривычной конструкции, росли деревья незнакомого вида. И на улице не было ни одного человека. Казалось, что в этой части города только что наступило самое раннее-раннее утро.  Он подошёл к остановке трамвая. Номера были какие-то странные: № 1932-1958, № 1983-1995. Как цифры на кладбище. И сразу же показался трамвай. Он шел почти бесшумно, хотя выглядел очень старым на вид, как будто сошел с дореволюционной фотографии, и по логике должен был бы греметь.  Он подходил ближе и ближе. Глаза у мальчика полезли на лоб, потому что трамвай был черного цвета. Не трамвай, а катафалк. Двери распахнулись. Мальчика так и потянуло в черную прямоугольную дыру. Еще секунда, и он сделал бы шаг. Но у него хватило разума повернуться и шагнуть в обратную сторону.  И все резко переменилось. Появились люди. Возник шум города. Мальчик потом долго думал, почему же он не вошел в трамвай. И он понял. На трамвае стояла цифра - 1982. Это был год его рождения."
12-е место,"В одном кинотеатре на 12-ом ряду, на 12-ом месте каждый день пропадали люди. Милиционер захотел узнать, почему так происходит. Пришёл, сел на 11-й ряд, 12-е место. А на 12-й ряд положил шапку. После сеанса шапка исчезла, а он так ничего и не увидел.  На другой день сел опять на свое место, а на 12-й ряд, 12-е место положил чучело и весь сеанс смотрел на это место. Только уже в конце фильма стул неожиданно раздвинулся и туда пролетело чучело. Милиционер сломал стул и увидел кол, на котором были нанизаны люди."
Старый памятник,"У старого памятника пропадали люди. Окружили его милиционеры. Пустили робота-девочку погулять вокруг памятника. Она ходила, ходила и вдруг провалилась. Внутри было темно. Вдруг раздались пулеметные выстрелы. Милиционеры кинули гранату туда, откуда стреляли. Все стихло. Милиционеры подошли туда и увидели, что там лежат прикованные цепями немцы. Немного дальше по коридору они увидели девочку-робота. А рядом было много убитых детей."
Маленький цветочек,"Одна девочка гуляла с друзьями на клумбе. Она увидела маленький цветочек. Она его понюхала и они ушли. А потом опять пришли. Цветок уже сильно вырос. Девочка сорвала его и принесла домой.  Она поставила его в вазу и ушла гулять, а до этого она успела написать записку маме о цветке. Мама пришла, подошла к записке, а цветок ее задушил. Девочка пришла, а цветок и ее задушил."
Пиковая дама,"Три девочки вызывали Пиковую Даму. Налили в стакан воды и положили зеркало. Вытащили зеркало и сказали:  - Появись, Пиковая Дама!  В двенадцать часов ночи скрип и шаги слышат девочки. Девочка, которая училась в первом классе, вышла посмотреть. Её долго не было. Другая, которая в подготовительной группе была, тоже побежала посмотреть. Её тоже долго не было. А другая, которая в старшей группе была, напугалась и залезла под кровать.  Утром пришла мама, видит, что вторая девочка лежит в ванной. У неё было три чёрных пятнышка на шее. А первую не нашли. Через три дня и нашли ту девочку в подвале. Она уже была мёртвой. У неё тоже было три чёрных пятнышка на шее.  Девочки вызывали Пиковую Даму. И если вода забултыхается, то она появится. И она забултыхалась. Она появилась. Чтобы она исчезла, надо кинуть на пол зеркало. А они этого не знали."
Неваляшка и змея,"Жили-были девочка и мама. Мама как-то раз купила девочке неваляшку. И говорила ей, чтоб не брала неваляшку до тех пор, пока она не придёт. И ушла. А к той девочке пришли подружки и начали проситься у неё играть. И говорят:  - Можно поиграть к тебе?  Их девочка впустила. Они все взяли по кукле, а девочке досталась неваляшка. Она взяла неваляшку и поиграла ей. Как девочки ушли, она убрала её, но ей захотелось снова подержать неваляшку. Она взяла её. У неё неваляшка упала и оттуда вылезла змея. Девочка выбежала на балкон, змея за ней. Она дверь захлопнула и змею не пустила. Потом вспомнила, что мама ей велела спать ложиться в 11 часов, а она придет поздно.  Девочка легла спать. Когда она встала, мамы еще не было. Она пошла в свою комнату и увидела из окна, что к их подъезду подъехала машина. Вошел дяденька и сказал:  - Твоя мама умерла."
Девушка с зелеными ногами,"Жил-был на свете парень, которому гадалка нагадала, что принесет ему несчастье девушка с зелеными ногами. Но он не поверил в это и не придал этому никакого значения. И вот однажды встретил он девушку красивую, умную, добрую и влюбился в нее, но вот беда, никогда не видел он ее ноги, потому что она носила длинные юбки. И, однажды, повела она его гулять и завела на кладбище, парень испугался и вдруг из-под юбки увидел он зеленые ноги, не успел он опомниться, как она ударила его по щеке, но он увернулся, и она упала в свежеразрытую могилку, он быстренько закопал ее и вернулся домой. Но на щеке у него навсегда осталась зеленая пятерня."
Девушка с красным пятном,"Один юноша-солдат сидел в ресторане и пил красное вино. К нему подошла одна очень красивая девушка в белом платье.  Они познакомились, и она дала ему свой номер телефона. Она написала его на салфетке и протянула ему. А он нечаянно опрокинул вино. Несколько больших капель попало на белое платье девушки.  Вечером он позвонил по телефону. Трубку подняла пожилая женщина. Он попросил девушку к телефону, а женщина расплакалась и сказала, что та, которая нужна ему, её дочь, и что она умерла два года назад.  Он ответил, что этого не может быть, потому что он видел её сегодня утром и разговаривал с ней...  Дело дошло до того, что раскопали могилу, чтобы пролить свет на это тёмное дело. Когда этот человек увидел девушку, то он сразу узнал ее. У неё на платье были свежие капли вина. И тут раздался голос:  - Уходите отсюда. Тот, кто будет долго смотреть, скоро умрёт."
Дискотека на кладбище,"На месте старого кладбища построили дискотеку. Все ночи напролёт там продолжались танцы, слышалась музыка. Один молодой человек познакомился там с девушкой. Они встречались каждый день, но она никогда не позволяла себя провожать.  Но однажды он стал красться следом за ней, чтобы узнать, где она живёт. Он увидел, как девушка садится в чёрную машину, все окна в ней были занавешены чёрной тканью. Юноша поехал за машиной на своем мотоцикле.  Машина ехала на большой скорости в сторону леса - туда, где ещё были старые могилы. В это время из машины вылетела чёрная простыня и кинулась на молодого человека, она закрыла его лицо, и он не смог сорвать её. Он не видел дороги, упал в кювет и разбился.  Через несколько дней его стали искать и нашли в лесу несколько сломанных, разбитых мотоциклов, но тел не нашли. Тогда дискотеку на кладбище закрыли, и место это стало проклятым."
Человек с синими зубами,"В одном городе жила-была одна девушка. Она была очень красивая. У неё умерла мать и осталась только бабушка. Однажды девушка пошла на танцы. Бабушка ей сказала:  - Если тебя будет приглашать мужчина с синими зубами, не танцуй с ним.  Она пришла на танцы, танцевала с разными мужчинами, а потом ее пригласил мужчина с синими зубами. Девушка пошла с ним танцевать. Танцы кончились, и мужчина сказал, что он проводит её до дома. Они сели в машину и поехали.  А у этой девушки был один знакомый с мотоциклом. Он всё время ехал сзади. Машина Человека с Синими Зубами шла уже со скоростью сто пятьдесят километров в час. Знакомый еле успевал за ними. Девушке было очень страшно. Вот они выехали за город на шоссе. И стали ехать совсем быстро.  И тогда из окна машины Человека с Синими Зубами вылетела Чёрная Простыня и полетела к мотоциклисту. Она стала его душить. Он стал с ней бороться, потерял управление, вылетел в кювет и разбился.  А эту девушку никто больше не видел."
Зеленый зуб,"Один мужчина женился на женщине, но никогда (даже на свадьбе) не смеялся, не улыбался. Только один раз глубокой ночью он улыбнулся, и женщина увидела, что у него зеленый зуб.  - Почему у тебя зеленый зуб? - спросила она. А муж ей и отвечает: - Приходи ночью, в двенадцать часов, на кладбище.  Но она не пошла. Тогда муж сам ее повел на кладбище. Пришли они, а там избушка. Когда они вошли в избушку, то женщина увидела там бутылки с кровью и мясо. Муж набросился на нее и убил..."
Зеленый пистолет,"В одной деревне жил мальчик. Один раз мальчик пошел гулять и увидел около реки бабушку. Она была одета во все черное и в руках у нее была корзина, накрытая сверху черным платком. Бабушка показалась мальчику подозрительной, и он, чтобы проверить, ведьма она или простая старушка, сунул руки в карманы и сделал фиги.  Бабка сразу оглянулась и, чмокая губами, спросила, что ему нужно. От страха мальчик сказал, что в голову пришло:  - Я здесь пистолетик потерял. Вот и ищу его. - Вот этот? - спросила старуха и достала из корзины большой блестящий пистолет. - Да, это мой пистолет. - Мальчик взял пистолет. И вдруг бабка вся стала зеленая, и корзинка зеленая, и они постепенно исчезли.  Мальчик обрадовался и пошел домой. Идет и пистолетом иногда любуется. А навстречу цыганка шла. Она сказала:  - Что это, мальчик, у тебя? - Вот я пистолетик нашел. - Дай сюда! - сказала цыганка.  Она схватила пистолет и бросила его в речку. И вдруг река в этом месте зашипела и стала зеленой.  А у мальчика на всю жизнь остались зеленые ладошки."
Космические глаза,"Двое путешественников шли через лес. Вдруг они увидели древний замок. Они взломали дверь и вошли. На втором этаже они разошлись по разным коридорам. Один из них попал в большую комнату с картинами на стенах. Он просмотрел все комнаты. Подойдя к последней, он закричал и умер. Второй прибежал на помощь, но, взглянув на картину, тоже умер, потому что на картине были нарисованы космические глаза."
Фотография из колодца,"В одной пустыне шла экспедиция. И вдруг на пути - колодец. Одного геолога решили туда опустить. Его долго опускали, вдруг он дико закричал и задёргался.  Когда его достали, он был мёртвый и седой. Тогда вместо него опустили фотоаппарат. Фотоаппарат что-то  сфотографировал.  Вот стали проявлять пленку. Проявщик как взглянул на неё, так страшно закричал и умер. Его помощник догадался сжечь фотографию, не заглядывая в неё. Он понял, что эта фотография может погубить сотни людей.  Так никто и не узнал, что же было там, в этом пустынном колодце."
Секретный случай на советско-польской границе,"На советско-польской границе произошла эта история. Есть там в самом центре темной дубравы старый замок, который был заброшен в стародавние времена и совсем был бы забыт людьми, если бы рядом не проходила граница, а значит, и пограничная тропа.  На заставе знали расположение комнат в замке, но не каждый раз осматривали их, а лишь когда что-то вызывало тревогу.   Однажды в наряд мимо замка пошёл один солдат, служивший недавно, но хорошо знающий те места. Звали его Юрой. Он, собственно, и рассказал эту историю. Кроме него, в наряде были сержант Березов и солдат Гвоздин.  Шли они около замка и увидели, что в верхнем окошке на втором этаже мелькнул свет и что-то заискрилось. (Это была самая маленькая комната на втором этаже в углу.) Сержант приказал Юре остаться внизу, а сам с Гвоздиным отправился на обследование замка.  - Если услышишь что-то подозрительное, свяжись с заставой и сообщи обо всем,- сказал он перед уходом.  Стоит Юра, прислушивается: вот прошли дверь, топают по лестнице, по коридору, скрип открываемой тяжёлой двери в комнату... автоматная очередь, страшный крик и глухое падение тел одного за другим.  Юра опешил, но спустя несколько мгновений пришел в себя и бросился к ближайшему потайному телефону, чтобы сообщить на заставу о происшествии. Через несколько минут застава, поднятая в ружье, была у замка, и все побежали наверх, на выручку.  Когда открыли дверь одной из комнатушек, предстала страшная картина: в нескольких шагах от двери лежал лицом вниз сержант Березов, а у дверей с автоматом на предохранителе - солдат Гвоздин, но глаза у сержанта были широко открыты. Когда врач заглянул в них, он дико закричал и упал без признаков жизни. Оказалось, что на сетчатке глаз сержанта отпечаталось то страшное видение, которое он видел перед смертью. Постепенно оно растворилось и ушло.  Когда врача откачали, сознание вернулось к нему, но он ничего не помнил. Он совершенно всё забыл, и его заново пришлось учить всему как маленького: словам, умению завязывать ботинки, есть и пить. Потом он снова стал ходить в школу при погранзаставе. Во все классы.  А этот замок обнесли колючей проволокой, и больше туда никто не заходил. Иногда в этой комнате в углу что-то тихонько светится и искрит: Ученые хотят туда попасть, но пограничники никого в эту секретную зону не пропускают."
Черная смерть в городе Нью-Йорке,"Однажды в море один грузовой корабль дал сигнал SOS. Мимо проходил другой корабль, и его экипаж решил прийти на помощь. Когда они поднялись на борт, то никого там не нашли. Только помощник капитана второго корабля зашел в одну каюту и увидел, что на полу лежит груда одежды. Из этой груды вдруг выползла какая-то черная туманная масса и бросилась на помощника. Она обволокла его и съела. Осталась одна морская форма с фуражкой.  Это была Черная Смерть. Все остальные испугались, убежали и уплыли. Этот случай был описан в газетах. Через несколько лет в одной квартире где-то на западе какой-то богач проснулся и увидел, что его любовница пошла в ванную. Ее очень долго не было. Он удивился и пошел за ней следом. В ванной лежал только халатик и тапки.  И вдруг на него с потолка набросилась Черная Смерть. Она кинулась на богача, но у него в кармане халата всегда был пистолет. Он несколько раз выстрелил. Черная Смерть съежилась, но не умерла. Она втянулась в дыру в полу, куда уходит вода, и пошла по городу.  С той поры Черная Смерть погубила множество людей. Она растворяла их, оставляя лишь одежду. Она перебиралась из одного места в другое по канализации и водопроводу, и ее невозможно было поймать.  Но однажды она выползла на улицу из канализационного люка и напала на полицейского. Тот стал стрелять из автомата, и она уползла обратно. Полицейский вызвал по радио подмогу, они открыли люк и увидели, что дальше нет хода. Они забросали Черную Смерть слезоточивыми гранатами, а потом и простыми. Потом в люк спустились ученые и взяли несколько кусочков Черной Смерти в стеклянные банки.  Оказалось, что Черная Смерть зародилась от биомассы, когда американцы проводили в океане испытание водородной бомбы. Когда во всем разобрались, последний кусочек сожгли, и ее не стало."
Хозяин кладбища,"Возле одного английского кладбища стояла гостиница. В ней никто не жил. Однажды в Англию приехали два француза-туриста. Они не верили ни в какие ужасы и, узнав о гостинице на кладбище, пошли туда жить.  Ночью, открывая окно, чтобы зашёл свежий воздух, они увидели, что в проходах между могилами светятся два красных огонька. Видно было, что этим глазам надоело среди могил, и они хотят напасть на комнату.  Французы схватили револьверы. Послышалось хлопанье крыльев. Они стали стрелять. Позвали полицию. Существо убежало. А утром увидели, что мальчишки во дворе стоят около чудовища с крыльями и палками толкают его возле глаз, которые еще светятся.  Отдали Хозяина Кладбища на исследование. После исследования им ответили, что чудовище сбежало от генетиков 29 лет назад. Что это очень опасное животное. Клетку человека скрестили с клеткой летучей мыши и оставили в благоприятных условиях. Генетики совсем забыли про клетки, как из ящика, где они лежали, вылетело чудовище, схватило в зубы первого попавшегося человека, разбило окно и улетело. И поселилось на кладбище, потому что там спокойно.  Но остались другие чудовища, его братья, и они мстят людям, которые с ними борются."
